input_text,output_text
"What IAM role does serviceaccount need for exporting dns record-sets on GCP?<p>I'm running a bash script from CloudBuild. The bash script is gonna export DNS record to a file.</p>
<pre><code>gcloud dns record-sets export zonedump-$i.tmp --zone-file-format --project $projectname --zone=$i
</code></pre>
<p>The serviceaccount of cloudbuild has roles/dns.reader</p>
<p>I get this error when I run cloudbuild:</p>
<pre><code>ERROR: (gcloud.dns.record-sets.export) HTTPError 403: Forbidden
Finished Step #3
ERROR
ERROR: build step 3 &quot;gcr.io/google.com/cloudsdktool/cloud-sdk&quot; failed: step exited with non-zero status: 1
</code></pre>
<p>cloudbuild.yaml</p>
<pre><code>steps:
- name: 'bash'
  args: ['echo', 'Backing up DNS zone to Storage!']
- name: 'bash'
  args: ['ls']
- name: 'bash'
  args: ['chmod', '+x', 'scripts/dnszone_backup.bash']
- name: 'gcr.io/google.com/cloudsdktool/cloud-sdk'
  entrypoint: &quot;bash&quot;
  args:
    - &quot;-c&quot;
    - |
      echo &quot;calling script&quot;
      ls -la
      gcloud version
      scripts/dnszone_backup.bash
</code></pre>
<p>I would appreciate if someone can help me with this.</p>","<p>I needed to activate &quot;Cloud Build API&quot;.</p>
<p>I found it by testing it via <code>gcloud dns record-sets list</code> and got a clear error message for activating this API.</p>"
"Share (parameterized) cloudbuild.yaml between multiple GitHub projects?<p>I've managed to trigger a Google Cloud Build on every commit to GitHub successfully. However, we have many different source code repositories (projects) on GitHub, that all use Maven and Spring Boot, and I would like all of these projects to use the same <code>cloudbuild.yaml</code> (or a shared template). This way we don't need to duplicate the <code>cloudbuild.yaml</code> in all projects (it'll be essentially the same in most projects).</p>
<p>For example, let's just take two different projects on GitHub, A and B. Their <code>cloudbuild.yaml</code> files could look something like this (but much more complex in our actual projects):</p>
<p>Project A:</p>
<pre><code>steps:
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'test' ]
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'package', '-Dmaven.test.skip=true' ]
  - name: gcr.io/cloud-builders/docker
    args: [ &quot;build&quot;, &quot;-t&quot;, &quot;europe-west1-docker.pkg.dev/projectname/repo/project-a&quot;, &quot;--build-arg=JAR_FILE=target/project-a.jar&quot;, &quot;.&quot; ]
images: [ &quot;europe-west1-docker.pkg.dev/projectname/repo/project-a&quot; ]
</code></pre>
<p>Project B:</p>
<pre><code>steps:
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'test' ]
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'package', '-Dmaven.test.skip=true' ]
  - name: gcr.io/cloud-builders/docker
    args: [ &quot;build&quot;, &quot;-t&quot;, &quot;europe-west1-docker.pkg.dev/projectname/repo/project-a&quot;, &quot;--build-arg=JAR_FILE=target/project-b.jar&quot;, &quot;.&quot; ]
images: [ &quot;europe-west1-docker.pkg.dev/projectname/repo/project-b&quot; ]
</code></pre>
<p>The only thing that is different is the jar file and image name, the steps are the same. Now imagine having hundreds of such projects, it can become a maintenance nightmare if we need to change or add a build step for each project.</p>
<p>A better approach, in my mind, would be to have a template file that could be shared:</p>
<pre><code>steps:
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'test' ]
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'package', '-Dmaven.test.skip=true' ]
  - name: gcr.io/cloud-builders/docker
    args: [ &quot;build&quot;, &quot;-t&quot;, &quot;europe-west1-docker.pkg.dev/projectname/repo/${PROJECT_NAME}&quot;, &quot;--build-arg=JAR_FILE=target/${PROJECT_NAME}.jar&quot;, &quot;.&quot; ]
images: [ &quot;europe-west1-docker.pkg.dev/projectname/repo/${PROJECT_NAME}&quot; ]
</code></pre>
<p>It would then be great if such a template file could be uploaded to GCS and then reused  in the <code>cloudbuild.yaml</code> file in each project:</p>
<p>Project A:</p>
<pre><code>steps:
  import:
    gcs: gs:/my-build-bucket/cloudbuild-template.yaml
    parameters: 
      PROJECT_NAME: project-a
</code></pre>
<p>Project B:</p>
<pre><code>steps:
  import:
    gcs: gs:/my-build-bucket/cloudbuild-template.yaml
    parameters: 
      PROJECT_NAME: project-b
</code></pre>
<p>Does such a thing exists for Google Cloud Build? How do you import/reuse build steps in different builds as I described above? What's the recommended way to achieve this?</p>","<p>I contacted Google Cloud support and they told me that this is not currently available. They are aware of the issue and it's something that they're working on (no eta on when it's going to be available).</p>
<p>Their recommendation, in the meantime, is to use <a href=""https://tekton.dev/"" rel=""nofollow noreferrer"">Tekton</a>.</p>"
"Google Cloud Build Generating cloud_run_revision warnings<p>I have a system built by Google Cloud Build and running in Google Cloud Run. It detects when I've pushed new code into Bitbucket and automatically builds from there.</p>
<p>The last change I made to code was a few days ago. Today I noticed a number of messages in the logs explorer containing the following kind of info...</p>
<pre><code>  {
  &quot;insertId&quot;: &quot;62eec4ec00054bed93ba2600&quot;,
  &quot;httpRequest&quot;: {
    &quot;requestMethod&quot;: &quot;GET&quot;,
    &quot;requestUrl&quot;: &quot;https://gx-txxx-ylb2wvn3ma-uc.a.run.app/internal/jolokia/&quot;,
    &quot;requestSize&quot;: &quot;776&quot;,
    &quot;status&quot;: 404,
    &quot;responseSize&quot;: &quot;858&quot;,
    &quot;userAgent&quot;: &quot;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36&quot;,
    &quot;remoteIp&quot;: &quot;216.131.109.149&quot;,
    &quot;serverIp&quot;: &quot;216.239.32.53&quot;,
    &quot;latency&quot;: &quot;0.006097606s&quot;,
    &quot;protocol&quot;: &quot;HTTP/1.1&quot;
  },
  &quot;resource&quot;: {
    &quot;type&quot;: &quot;cloud_run_revision&quot;,
    &quot;labels&quot;: {
      &quot;service_name&quot;: &quot;gr-test&quot;,
      &quot;configuration_name&quot;: &quot;gx-txxx&quot;,
      &quot;location&quot;: &quot;us-central1&quot;,
      &quot;project_id&quot;: &quot;central-segment-190xxx&quot;,
      &quot;revision_name&quot;: &quot;gx-txxx-00086-nis&quot;
    }
  },
  &quot;timestamp&quot;: &quot;2022-08-06T19:45:48.347117Z&quot;,
  &quot;severity&quot;: &quot;WARNING&quot;,
  &quot;labels&quot;: {
    &quot;instanceId&quot;: &quot;00c527f6d4848dafa449ff8b561a21d622e3e35600254dea2fa54a4e9c1fddd150910889f9a9e0c94769abb5b9e29520fc3b0822a31d84b121acbd5bbd0d65b186&quot;,
    &quot;managed-by&quot;: &quot;gcp-cloud-build-deploy-cloud-run&quot;,
    &quot;commit-sha&quot;: &quot;33745757dcc97bdfa08d37ba1e4b238607634fe2&quot;,
    &quot;gcb-trigger-id&quot;: &quot;8511bbc7-62c8-4f52-bf85-cfd9cd026d9f&quot;,
    &quot;gcb-build-id&quot;: &quot;3290e3e0-7b22-4034-9d96-5af1d0c3cf6c&quot;
  },
  &quot;logName&quot;: &quot;projects/central-segment-190216/logs/run.googleapis.com%2Frequests&quot;,
  &quot;trace&quot;: &quot;projects/central-segment-190216/traces/45562a3a3ea82892a4453ad4edc98a89&quot;,
  &quot;receiveTimestamp&quot;: &quot;2022-08-06T19:45:48.390028733Z&quot;,
  &quot;spanId&quot;: &quot;14733853662024484454&quot;
}
</code></pre>
<p>I haven't made any changes to my code in the past few days and Cloud Build doesn't point to any new builds since the last one I did. So, what could be causing these warnings? Is this a security issue about which I should be concerned?</p>
<p>Thank you!</p>
<p>&lt;&lt;Mod1 - I've posted the complete JSON message&gt;&gt;</p>","<p>The log entry shown corresponds to a <code>GET</code> against <code>https://gx-txxx-ylb2wvn3ma-uc.a.run.app/internal/jolokia/</code> which is not found.</p>
<p>In this case, with a publicly available service (and as OP points out) corroborating the request against the unfamiliar logged remote IP, the request is indicative of probing by &quot;others&quot;.</p>
<p>Such requests are not always malicious in intent but, in this case, it's likely a bot searching for some weakness. In this case, I suspect, looking for a site that supports <a href=""https://jolokia.org/reference/html/protocol.html"" rel=""nofollow noreferrer""><code>jolokia</code> protocol</a>.</p>
<p>It's prudent to pay attention to these requests and they will increase your costs. They may do so intentionally e.g. <a href=""https://en.wikipedia.org/wiki/Denial-of-service_attack"" rel=""nofollow noreferrer"">denial of service</a>. Google provides <a href=""https://cloud.google.com/armor/"" rel=""nofollow noreferrer"">Google Cloud Armor</a> to help protect sites. There are many so-called <a href=""https://en.wikipedia.org/wiki/Web_application_firewall"" rel=""nofollow noreferrer"">Web Application Firewall</a> tools available.</p>
<p>It's curious that Google is reporting <a href=""https://en.m.wikipedia.org/wiki/HTTP_404"" rel=""nofollow noreferrer""><code>404</code></a> as <code>warning</code> but this may be a way to avoid flooding logs with errors in cases like this which are unfortunate but expected.</p>"
"GCP deploy cloud function failed<p>I was trying to deploy a GCP cloud function using git hub actions and I got this error:</p>
<p><code>ERROR: (gcloud.functions.deploy) OperationError: code=3, message=Build failed: ERROR: Invalid requirement: 'Creating virtualenv xxxxxx-nJ6OriN1-py3.8 in /github/home/.cache/pypoetry/virtualenvs' (from line 1 of requirements.txt)</code></p>
<p><code>Hint: It looks like a path. File 'Creating virtualenv retry-failed-reports-nJ6OriN1-py3.8 in /github/home/.cache/pypoetry/virtualenvs' does not exist.; Error ID: 0ea8a540</code></p>
<p>Up until today, when all git hub workflows failed with this problem, my CI-CD pipeline was working as expected.</p>
<p>I was able to deploy the function manually using <code>gcloud</code>, it fails on cloud build step</p>
<p><a href=""https://i.stack.imgur.com/pVXCw.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/pVXCw.png"" alt=""enter image description here"" /></a></p>
<p>How can I solve this issue?</p>","<p>We were using this command to generate the <code>requirements.txt</code>:</p>
<p><code>poetry export -f requirements.txt --without-hashes &gt; requirements.txt</code></p>
<p>However, this stopped working.</p>
<p>Now I tried this command and is working fine:</p>
<p><code>poetry export -f requirements.txt --output requirements.txt --without-hashes</code></p>"
"Google Cloud Build show no logs<p>I have a Google Cloud Trigger that triggers cloud build on Github push.</p>
<p>The problem is that the Cloud Build shows no logs. I followed <a href=""https://cloud.google.com/build/docs/securing-builds/store-manage-build-logs#yaml"" rel=""nofollow noreferrer"">this doc</a> but can not find any logs on neither the Cloud Build log nor the Logs Explorer (see the image below)</p>
<p><a href=""https://i.stack.imgur.com/Rs5VQ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Rs5VQ.png"" alt=""enter image description here"" /></a></p>
<p>This is my <code>cloudbuild.yaml</code></p>
<pre class=""lang-yaml prettyprint-override""><code>steps:
# install dependencies
- name: node:16
  entrypoint: yarn
  args: []
# create .env file
- name: 'ubuntu'
  args: ['bash', './makeEnv.sh']
  env: 
    - 'GCP_SHOPIFY_STOREFRONT_ACCESS_TOKEN=$_GCP_SHOPIFY_STOREFRONT_ACCESS_TOKEN'
    - 'GCP_SHOPIFY_DOMAIN=$_GCP_SHOPIFY_DOMAIN'
# build code
- name: node:16
  entrypoint: yarn
  args: [&quot;build&quot;]
# deploy to gcp
- name: 'gcr.io/google.com/cloudsdktool/cloud-sdk'
  entrypoint: 'bash'
  args: ['-c', 'gcloud config set app/cloud_build_timeout 1600 &amp;&amp; gcloud app deploy --promote']
timeout: &quot;1600s&quot;
options:
  logging: CLOUD_LOGGING_ONLY
</code></pre>
<p>The build failed but it actually create a subsequence App Engine build that successfully deploy a version to App Engine. But that version is not auto-promoted (see the image below)</p>
<p><a href=""https://i.stack.imgur.com/KtuEj.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/KtuEj.png"" alt=""enter image description here"" /></a></p>","<p>I do not have all the details, so trying to help with all the above information mentioned.</p>
<p>As I can see you are using <code>CLOUD_LOGGING_ONLY</code> and not been able to see the log in the log explorer and considering you have all the permissions to access the logs.</p>
<p>I would suggest you to look into the service account that you are using for cloud build must at least have the role:
<a href=""https://cloud.google.com/logging/docs/access-control#:%7E:text=roles/logging.logWriter%20(Logs%20Writer)%20grants%20principals%20the%20minimal%20permissions%20required%20to%20write%20logs%20to%20the%20Logging%20API.%20This%20role%20doesn%27t%20grant%20viewing%20permissions."" rel=""nofollow noreferrer"">role/logging.logWriter</a> or permission:<code>logging.logEntries.create</code> permission if it is <em>not</em> the default cloud build SA <code>project-number@cloudbuild.gserviceaccount.com</code>.</p>
<p>Hope this helps :)</p>"
"Access to private Maven Repository from Google Cloud Build?<p>We're using Google Cloud Build to build a Spring Boot application written in Java. However, we have a private Maven repository (hosted on Artifact Registry if that matters), and the application won't build unless it has access to this repository.</p>
<p>The <code>cloudbuild.yaml</code> file looks like this:</p>
<pre class=""lang-yaml prettyprint-override""><code>steps:
  - name: maven:3.8.6-eclipse-temurin-17-alpine
    entrypoint: mvn
    args: [ 'clean', 'verify', '-Dmaven.test.skip=true' ]
</code></pre>
<p>Usually, I add the credentials to the private maven repository to the <code>~/.m2/settings.xml</code> file.</p>
<p>What's the recommended approach to give Maven access to a private Maven repository when building the project with Google Cloud Build?</p>","<p>You can create an additional <a href=""https://cloud.google.com/build/docs/build-config-file-schema"" rel=""nofollow noreferrer"">step in Google Cloud Build</a> to generate credentials and store them in the file (<code>~/.m2/settings.xml</code>), before running the maven step:</p>
<pre class=""lang-yaml prettyprint-override""><code>###### previous Cloud Build Steps ###

- name: 'bash'
  args: ['./cloudbuild_credentials.sh'] ### &lt;--- script to generate creds
  dir: 'src'                            ### &lt;--- directory might be different
  id: 'generate-credentials'
  env:
      - PRIVATE_REPO_PASS=$_PRIVATE_REPO_PASS ### &lt;--- keys might be passed to Cloud Build via Triggers

###### next Cloud Build Steps ###
</code></pre>
<p>An example how the script (<code>cloudbuild_credentials.sh</code>) might look like (generates and saves <code>~/.m2/settings.xml</code> file with the sensitive data):</p>
<pre class=""lang-bash prettyprint-override""><code>printf '
&lt;settings&gt;
    &lt;servers&gt;
        &lt;server&gt;
            &lt;id&gt;private-repo&lt;/id&gt;
            &lt;username&gt;xyz&lt;/username&gt;
            &lt;password&gt;%s&lt;/password&gt;
        &lt;/server&gt;
    &lt;/servers&gt;
&lt;/settings&gt;
' &quot;${PRIVATE_REPO_PASS}&quot; &gt; ~/.m2/settings2.xml
</code></pre>
<p>This way you commit only non-sensitive data to the repo, and you pass the key from the outside. For example via <a href=""https://cloud.google.com/build/docs/automating-builds/create-manage-triggers"" rel=""nofollow noreferrer"">Google Cloud Build Triggers</a>.</p>"
"Is there a Google CloudBuild equivalent for Manual Approval Action in AWS CodePipeline?<p>I am looking to setup a manual approval before the production build can be triggered from staging.</p>
<p>Is there any workaround to setup manual approval if Google doesn't support it natively?</p>
<p>AWS Manual Approval Action : <a href=""https://docs.aws.amazon.com/codepipeline/latest/userguide/approvals-action-add.html"" rel=""nofollow noreferrer"">https://docs.aws.amazon.com/codepipeline/latest/userguide/approvals-action-add.html</a></p>","<p>Unfortunately there is no equivalent of AWS Manual Approval Action for Cloud Build, however, you can integrate Cloud Build with a 3rd party tool to implement a deployment approval for different enviroments. <a href=""https://medium.com/segmentstream/simple-ci-cd-on-gke-using-cloudbuild-and-spinnaker-8470c7832c6"" rel=""nofollow noreferrer"">Here is an article</a> that uses Spinnaker for that.</p>
<p>You could also open a Feature Request so that an implementation of a native approval for deployment can be considered by Google's Product Team by following this <a href=""https://issuetracker.google.com/issues/new?component=190802&amp;template=0"" rel=""nofollow noreferrer"">link</a>.</p>"
"Connect to a gRPC service on a GKE cluster from Cloud Build<p>We’re using a managed Kubeflow Pipelines (KFP) instance, created with GCP’s AI Platform Pipelines, with a managed MySQL instance, created with Cloud SQL. We’re also using Cloud Build to build and run our KFP pipelines. We’d like to add a Cloud Build step that, after a KFP pipeline run finishes, runs a script that uses the MLMD API to query for that pipeline run’s metadata. We have an MLMD script that can successfully query for metadata when run manually on a GCP VM. The issue has been getting that script to run in Cloud Build.</p>
<p>The first approach was to create the <code>mlmd.metadata_store.MetadataStore</code> object using MySQL connection information, e.g.,</p>
<pre><code>connection_config = metadata_store_pb2.ConnectionConfig()
connection_config.mysql.host = [IP address]
connection_config.mysql.port = 3306
connection_config.mysql.database = &quot;kubeflow_experiments_metadata_metadata&quot;
connection_config.mysql.user = [user]
connection_config.mysql.password = [password]
store = mlmd.metadata_store.MetadataStore(connection_config)
</code></pre>
<p>This runs fine on a VM. It appears, however, that the Cloud SQL Proxy is required for this to work in Cloud Build. Using this <a href=""https://codelabs.developers.google.com/codelabs/connecting-to-cloud-sql-with-cloud-functions#2"" rel=""nofollow noreferrer"">Cloud Functions codelab</a> as an example, I was able to run a script in Cloud Build that used sqlalchemy to connect to MySQL via the proxy. The method for connecting sqlalchemy with the proxy, however, seems to be incompatible with the above MLMD API. It looks something like this:</p>
<pre><code>driver_name = &quot;mysql+pymysql&quot;
query_string = dict({&quot;unix_socket&quot;: &quot;/cloudsql/{}&quot;.format(connection_name)})
db = sqlalchemy.create_engine(
    sqlalchemy.engine.url.URL(drivername=driver_name, username=[user], password=[password], database=&quot;kubeflow_experiments_metadata_metadata&quot;, query=query_string),
    pool_size=5,
    max_overflow=2,
    pool_timeout=30,
    pool_recycle=1800,
)
</code></pre>
<p>The second approach uses the MLMD gRPC service that’s deployed with KFP. First, I port forward the service:</p>
<pre><code>kubectl port-forward svc/metadata-grpc-service 8080:8080
</code></pre>
<p>then create the <code>mlmd.metadata_store.MetadataStore</code> using the MLMD gRPC API:</p>
<pre><code>connection_config = metadata_store_pb2.MetadataStoreClientConfig(
    host=&quot;127.0.0.1&quot;,
    port=8080,
)
store = mlmd.metadata_store.MetadataStore(connection_config)
</code></pre>
<p>Again, this works fine on a VM. I’m not sure, however, how to connect to the gRPC service from Cloud Build. My experience with gRPC and Kubernetes is limited, so I wouldn’t be surprised if there was a straightforward solution.</p>
<p>Any advice would be greatly appreciated!</p>","<p>Through other avenues, I was pointed to this <a href=""https://fabiouechi.medium.com/using-google-cloud-build-for-kubeflow-pipelines-ci-cd-b1459b08b158"" rel=""nofollow noreferrer"">article</a>, which contains an example of how to port-forward KFP's ml-pipeline service in Cloud Build.  I had to make one minor modification, which was to remove the <code>&quot;-n&quot;</code> and <code>&quot;kubeflow&quot;</code> arguments to the <code>kubectl port-forward</code> command.  This specifies to <code>kubectl</code> to use the <code>&quot;kubeflow&quot;</code> namespace.  GCP's AI Platform Pipelines, however, appears to create a <code>&quot;default&quot;</code> namespace when it deploys your KFP instance.</p>"
"CICD on GCP for Firebase Functions failing due to ""replace /workspace/.runtimeconfig.json?"" error<p>I have CICD for cloud functions as some of the functions require token (collection deletion), my pipeline takes care of that.</p>
<p>Since last release, the cloud build is failing to deploy functions as it's expecting some key press which can't be done during cloud build. The actual log error says the following:</p>
<p>&quot;replace /workspace/.runtimeconfig.json? [y]es, [n]o, [A]ll, [N]one, [r]ename: NULL&quot;</p>
<p>Locally I am able to run the Cloud Functions with Node 14, but on GCP I'm not able to find a fix for GCP Cloud Build.</p>
<p>**Note: **</p>
<ul>
<li><p>I'm using latest packages as of today. firebase-tools package: 9.4.0</p>
</li>
<li><p>There are similar questions for deploying functions locally but none of them work for me as it's during Cloud Build. I'm using the guide here: <a href=""https://cloud.google.com/build/docs/deploying-builds/deploy-firebase"" rel=""nofollow noreferrer"">https://cloud.google.com/build/docs/deploying-builds/deploy-firebase</a></p>
<ul>
<li><a href=""https://github.com/firebase/firebase-tools/issues/3120"" rel=""nofollow noreferrer"">https://github.com/firebase/firebase-tools/issues/3120</a></li>
<li><a href=""https://stackoverflow.com/questions/65950774/firebase-functions-deploy-requires-keyboard-input-in-gcp"">Firebase Functions deploy requires keyboard input in GCP</a></li>
</ul>
</li>
</ul>","<p>Well the answers on other links mentioned above were correct indeed. What I didn't realize was that Docker image of node during build takes the latest automatically. Thus, now it was taking Node 15.xx version.</p>
<p>To fix this, just update Node version in the cloudbuild.yaml. For example following during npm install on GCP:</p>
<pre><code>- name: node:14
  entrypoint: npm
  waitFor: ['-']
  id: 'npm-install'
  dir: 'functions'
  args: ['install']
</code></pre>"
"Automatic job restart<p>I have a job that can take up to several hours. It is possible that for some reason (like out of memory, or cluster rebalance) it just fails. The problem is that the job is usually run overnight, and someone needs to check on it in the morning, and manually restart it (which most of the time is enough). I was wondering if this problem can be solved using spring cloud data flow.</p>
<p>Ideally, I would want SCDF to send an email (or call a webhook) when a job is done (failed or success), and retry an entire job if it fails. Is it possible to do that?</p>","<p>SCDF is a lightweight Spring Boot application, and it exposes a set of <a href=""https://docs.spring.io/spring-cloud-dataflow/docs/current/reference/htmlsingle/#api-guide-resources"" rel=""nofollow noreferrer"">RESTful APIs</a>, so you can leverage the APIs to build the desired automation.</p>
<p>There's currently no in-built email functionality to automate this workflow out-of-the-box.</p>
<p>You could, however, write a small application that periodically interacts with SCDF's RESTful APIs, and depending on the desired stateful scenarios, you could kick off the email and/or relaunch operations.</p>"
